City_ID,Date,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,2021-01-08 05:35:50,Berezovyy,RU,51.6667,135.7,-13.36,80,4,1.99,clear sky
159,2021-01-08 05:35:51,Oak Ridge,US,36.0104,-84.2696,37.99,93,90,6.91,mist
160,2021-01-08 05:35:51,Mukhen,RU,48.1,136.1,-10.7,81,100,6.49,overcast clouds
161,2021-01-08 05:35:51,Flin Flon,CA,54.7682,-101.865,20.01,95,46,6.93,scattered clouds
162,2021-01-08 05:35:51,Cayenne,GF,4.9333,-52.3333,73.4,100,90,2.3,overcast clouds
163,2021-01-08 05:35:53,Port Blair,IN,11.6667,92.75,84.16,68,0,15.03,clear sky
164,2021-01-08 05:35:53,Alofi,NU,-19.0595,-169.9187,82.4,78,27,8.05,moderate rain
165,2021-01-08 05:35:53,Makokou,GA,0.5738,12.8642,69.85,95,82,2.26,broken clouds
166,2021-01-08 05:35:54,Port Lincoln,AU,-34.7333,135.8667,75.61,49,1,10.31,clear sky
167,2021-01-08 05:35:54,Esperance,AU,-33.8667,121.9,95.0,15,7,5.75,clear sky
168,2021-01-08 05:35:54,Kutum,SD,14.2,24.6667,61.36,31,0,15.32,clear sky
169,2021-01-08 05:35:56,Vila Franca Do Campo,PT,37.7167,-25.4333,53.6,62,20,9.22,few clouds
170,2021-01-08 05:35:56,Meulaboh,ID,4.1363,96.1285,85.98,64,18,6.42,few clouds
171,2021-01-08 05:35:56,Vestmanna,FO,62.1564,-7.1664,30.2,69,90,1.14,overcast clouds
172,2021-01-08 05:35:56,Novi Ligure,IT,44.7608,8.7896,34.0,95,43,1.72,scattered clouds
173,2021-01-08 05:35:57,Mazabuka,ZM,-15.856,27.748,72.14,87,100,5.61,light rain
174,2021-01-08 05:35:57,Dubti,ET,11.7361,41.0853,73.18,55,0,13.8,clear sky
175,2021-01-08 05:35:57,Valle De Allende,MX,26.9333,-105.4,49.12,40,0,5.66,clear sky
176,2021-01-08 05:35:58,Ngara,TZ,-2.5122,30.6558,63.64,92,0,2.24,clear sky
177,2021-01-08 05:35:58,Iracoubo,GF,5.4802,-53.2011,77.31,89,100,11.18,overcast clouds
178,2021-01-08 05:35:58,Linhares,BR,-19.3911,-40.0722,71.1,95,30,2.89,scattered clouds
179,2021-01-08 05:35:59,Korop,UA,51.5664,32.9586,35.83,96,100,15.19,overcast clouds
180,2021-01-08 05:35:59,Victoria,HK,22.2855,114.1577,51.01,48,86,1.99,overcast clouds
181,2021-01-08 05:35:59,Kalghatgi,IN,15.1833,74.9667,78.8,57,0,6.91,clear sky
182,2021-01-08 05:35:59,La Ronge,CA,55.1001,-105.2842,23.0,74,13,4.61,few clouds
